imdb_title_id;title;original_title;year;date_published;genre;duration;country;language;director;writer;production_company;actors;description;avg_vote;votes;reviews_from_users;reviews_from_critics
tt0000009;Miss Jerry;Miss Jerry;1894;1894-10-09;Romance;45;USA;None;Alexander Black;Alexander Black;Alexander Black Photoplays;Blanche Bayliss, William Courtenay, Chauncey Depew;The adventures of a female reporter in the 1890s.;5.9;154;1;2
tt0002461;Richard III;Richard III;1912;10/15/1912;Drama;55;France, USA;English;Andr̩ Calmettes, James Keane;James Keane, William Shakespeare;Le Film d'Art;Robert Gemp, Frederick Warde, Albert Gardner, James Keane, George Moss, Howard Stuart, Virginia Rankin, Violet Stuart, Carey Lee, Carlotta De Felice;Richard of Gloucester uses manipulation and murder to gain the English throne.;5.5;225;8;1
tt0003657;The Bargain;The Bargain;1914;12/03/1914;Western;70;USA;English;Reginald Barker;William H. Clifford, Thomas H. Ince;New York Motion Picture;William S. Hart, J. Frank Burke, Clara Williams, J. Barney Sherry, Joseph J. Dowling;After the bandit Jim Stokes robs the stage he is wounded fleeing. Recuperating at a ranch, he falls in love with and marries the daughter. Now wishing to go straight he tries to return the ...;6.5;144;8;3
tt0003973;A Florida Enchantment;A Florida Enchantment;1914;9/04/1916;Comedy;63;USA;English;Sidney Drew;Marguerite Bertsch, Archibald Clavering Gunter;Vitagraph Company of America;Sidney Drew, Edith Storey, Charles Kent, Mrs. Sidney Drew, Ada Gifford, Ethel Lloyd, Lillian Burns, Grace Stevens, Allan Campbell, Cortland Van Deusen, Frank O'Neil;A young woman discovers a seed that can make women act like men and men act like women. She decides to take one, then slips one to her maid and another to her fianc̩. The fun begins.;5.8;202;6;3
tt0004134;Hypocrites;Hypocrites;1915;1/20/1915;Drama;54;USA;English;Lois Weber;Lois Weber;Hobart Bosworth Productions;Courtenay Foote, Myrtle Stedman, Herbert Standing, Adele Farrington;The parallel stories of a modern preacher and a medieval monk, Gabriel the Ascetic, who is killed by an ignorant mob for making a nude statue representing Truth, which is also represented by a ghostly naked girl who flits throughout the film.;6.6;456;41;9
tt0004181;Judith of Bethulia;Judith of Bethulia;1914;3/08/1914;Drama;61;USA;English;D.W. Griffith;Thomas Bailey Aldrich, D.W. Griffith;Biograph Company;Blanche Sweet, Henry B. Walthall, Mae Marsh, Robert Harron, Kate Bruce, Lillian Gish, J. Jiquel Lanoe, Gertrude Bambrick, Dorothy Gish, Harry Carey;A religious woman seeks to save her people from destruction by seducing and murdering the enemy leader, but her plans get complicated once she falls for him.;6.1;1239;16;9
tt0004681;La madonnina del porto;Tess of the Storm Country;1914;3/30/1914;Drama;80;USA;English;Edwin S. Porter;Grace Miller White, B.P. Schulberg;Famous Players Film Company;Mary Pickford, Harold Lockwood, Olive Carey, David Hartford, Louise Dunlap, William Walters, Richard Garrick, Eugene Walter, Jack Henry, H.R. Macy, H.L. Griffith;A wealthy resident attempts to dispossess squatters who live near his home, which leads to a false accusation of murder.;6.1;178;5;3
tt0005060;Carmen;Carmen;1915;10/31/1915;Drama;59;USA;English;Cecil B. DeMille;Prosper M̩rim̩e, William C. de Mille;Jesse L. Lasky Feature Play Company;Geraldine Farrar, Wallace Reid, Pedro de Cordoba, Horace B. Carpenter, William Elmer, Jeanie Macpherson, Anita King, Milton Brown, Tex Driscoll;In order to help her smuggler kinsmen, a sultry gypsy seduces and corrupts an officer of the Civil Guard turning him into a traitor and murderer.;6.4;894;20;8
tt0005339;La vampira;A Fool There Was;1915;1/12/1915;Drama;67;USA;English;Frank Powell;Porter Emerson Browne, Roy L. McCardell;Fox Film Corporation;Runa Hodges, Mabel Frenyear, Edward Jos̩, May Allison, Clifford Bruce, Theda Bara, Victor Benoit, Frank Powell, Minna Gale, Creighton Hale;A married diplomat falls hopelessly under the spell of a predatory woman.;5.8;783;20;14
tt0005402;The Golden Chance;The Golden Chance;1915;12/30/1915;Drama;74;USA;English;Cecil B. DeMille;Cecil B. DeMille, Jeanie Macpherson;Jesse L. Lasky Feature Play Company;Cleo Ridgely, Wallace Reid, Horace B. Carpenter, Ernest Joy, Edythe Chapman, Raymond Hatton, William Elmer, Mrs. Lewis McCord;Mary Denby becomes a seamstress after her husband Steve wastes their money on booze. Her employer provides her as an escort to accompany millionaire Roger Manning. Her husband tries ...;6.4;187;10;1
tt0005557;The Italian;The Italian;1915;1/01/1915;Drama;72;USA;English;Reginald Barker;Thomas H. Ince, C. Gardner Sullivan;New York Motion Picture;George Beban, Clara Williams, J. Frank Burke, Leo Willis, Fanny Midgley;An immigrant leaves his sweetheart in Italy to find a better life across the sea in the grimy slums of New York. They are eventually reunited and marry. But life in New York is hard and ...;6.6;293;13;3
tt0006327;Young Romance;Young Romance;1915;1/21/1915;Comedy;59;USA;English;George Melford;William C. de Mille, William C. de Mille;Jesse L. Lasky Feature Play Company;Edith Taliaferro, Florence Dagmar, Tom Forman, Frederick Wilson, Al Ernest Garcia, Marshall Mackaye, Harry De Vere, J. Parks Jones, Violet Drew, Mrs. Lewis McCord, Gertrude Kellar, Charles Wells, Dorothy Abril, Miss White, Raymond Hatton;Young Romance, released in 1915, is a recent rediscovery that forever silences the claim that refined comedy cannot be conveyed via the screen. This disguise plot, worthy of an Elizabethan ...;5.9;151;7;1
tt0006517;Civilization;Civilization;1915;6/02/1916;Drama;85;USA;English;Reginald Barker, Thomas H. Ince;C. Gardner Sullivan;Thomas H. Ince Corporation;Howard Hickman, Enid Markey, Lola May, Kate Bruce, J. Frank Burke, Claire Du Brey, George Fisher, Charles K. French, Thomas H. Ince, Herschel Mayall, Fanny Midgley, J. Barney Sherry, Jerome Storm, Ethel Ullman, Woodrow Wilson;Christ takes on the form of a pacifist count to end a senseless war.;6;283;8;6
tt0006589;The Devil's Needle;The Devil's Needle;1916;8/13/1916;Drama;59;USA;English;Chester Withey;Roy Somerville, Chester Withey;Fine Arts Film Company;Tully Marshall, Norma Talmadge, Marguerite Marsh, F.A. Turner, Howard Gaye, John E. Brennan, Paul Le Blanc;Wynne Mortimer, a pampered society girl and daughter of William Mortimer, a prominent business man, chances to meet David White, a young artist whose fame is already assured, at an art ...;6.8;123;4;11
